OPS-Kode,Year,Altersgruppe,Wert
5-646.x,2014,30-35,0
5-646.x,2014,35-40,0
5-646.x,2014,40-45,0
5-646.x,2014,45-50,0
5-646.x,2014,50-55,0
5-646.x,2014,55-60,0
5-646.x,2014,60 und älter,0
5-646.y,2014,Insgesamt,0
5-646.y,2014,unter 15,0
5-646.y,2014,15-20,0
5-646.y,2014,20-25,0
5-646.y,2014,25-30,0
5-646.y,2014,30-35,0
5-646.y,2014,35-40,0
5-646.y,2014,40-45,0
5-646.y,2014,45-50,0
5-646.y,2014,50-55,0
5-646.y,2014,55-60,0
5-646.y,2014,60 und älter,0
5-646.0,2015,Insgesamt,789
5-646.0,2015,unter 15,0
5-646.0,2015,15-20,29
5-646.0,2015,20-25,152
5-646.0,2015,25-30,171
5-646.0,2015,30-35,163
5-646.0,2015,35-40,112
5-646.0,2015,40-45,55
5-646.0,2015,45-50,67
5-646.0,2015,50-55,25
5-646.0,2015,55-60,11
5-646.0,2015,60 und älter,4
5-646.1,2015,Insgesamt,406
5-646.1,2015,unter 15,0
5-646.1,2015,15-20,17
5-646.1,2015,20-25,46
5-646.1,2015,25-30,62
5-646.1,2015,30-35,49
5-646.1,2015,35-40,36
5-646.1,2015,40-45,45
5-646.1,2015,45-50,58
5-646.1,2015,50-55,56
5-646.1,2015,55-60,23
5-646.1,2015,60 und älter,14
5-646.x,2015,Insgesamt,10
5-646.x,2015,unter 15,0
5-646.x,2015,15-20,1
5-646.x,2015,20-25,1
5-646.x,2015,25-30,1
5-646.x,2015,30-35,0
5-646.x,2015,35-40,0
5-646.x,2015,40-45,1
5-646.x,2015,45-50,2
5-646.x,2015,50-55,3
5-646.x,2015,55-60,0
5-646.x,2015,60 und älter,1
5-646.y,2015,Insgesamt,0
5-646.y,2015,unter 15,0
5-646.y,2015,15-20,0
5-646.y,2015,20-25,0
5-646.y,2015,25-30,0
5-646.y,2015,30-35,0
5-646.y,2015,35-40,0
5-646.y,2015,40-45,0
5-646.y,2015,45-50,0
5-646.y,2015,50-55,0
5-646.y,2015,55-60,0
5-646.y,2015,60 und älter,0
5-646.0,2016,Insgesamt,1027
5-646.0,2016,unter 15,0
5-646.0,2016,15-20,44
5-646.0,2016,20-25,217
5-646.0,2016,25-30,240
5-646.0,2016,30-35,159
5-646.0,2016,35-40,140
5-646.0,2016,40-45,104
5-646.0,2016,45-50,63
5-646.0,2016,50-55,41
5-646.0,2016,55-60,11
5-646.0,2016,60 und älter,8
5-646.1,2016,Insgesamt,497
5-646.1,2016,unter 15,0
5-646.1,2016,15-20,28
5-646.1,2016,20-25,64
5-646.1,2016,25-30,54
5-646.1,2016,30-35,70
5-646.1,2016,35-40,58
5-646.1,2016,40-45,48
5-646.1,2016,45-50,68
5-646.1,2016,50-55,66
5-646.1,2016,55-60,29
5-646.1,2016,60 und älter,12
5-646.x,2016,Insgesamt,4
5-646.x,2016,unter 15,2
5-646.x,2016,15-20,1
5-646.x,2016,20-25,0
5-646.x,2016,25-30,0
5-646.x,2016,30-35,0
5-646.x,2016,35-40,0
5-646.x,2016,40-45,0
5-646.x,2016,45-50,0
5-646.x,2016,50-55,0
5-646.x,2016,55-60,1
5-646.x,2016,60 und älter,0
5-646.y,2016,Insgesamt,1
5-646.y,2016,unter 15,0
5-646.y,2016,15-20,0
5-646.y,2016,20-25,1
5-646.y,2016,25-30,0
5-646.y,2016,30-35,0
5-646.y,2016,35-40,0
5-646.y,2016,40-45,0
5-646.y,2016,45-50,0
5-646.y,2016,50-55,0
5-646.y,2016,55-60,0
5-646.y,2016,60 und älter,0
5-646.0,2017,Insgesamt,946
5-646.0,2017,unter 15,0
5-646.0,2017,15-20,47
5-646.0,2017,20-25,210
5-646.0,2017,25-30,229
5-646.0,2017,30-35,136
5-646.0,2017,35-40,121
5-646.0,2017,40-45,85
5-646.0,2017,45-50,54
5-646.0,2017,50-55,42
5-646.0,2017,55-60,14
5-646.0,2017,60 und älter,8
5-646.1,2017,Insgesamt,555
5-646.1,2017,unter 15,0
5-646.1,2017,15-20,25
5-646.1,2017,20-25,78
