Name,Addresse,Lat,Long,Fallzahl F64,Fallzahl 5-646.0,Fallzahl 5-646.1,Bettenanzahl,Stationäre Fälle insgesamt
Klinikum Dortmund gGmbH Klinikzentrum Mitte,Beurhausstraße 40 44137 Dortmund,,,Datenschutz,0,0,963,42093
St.-Marien-Hospital,Altstadtstr. 23 44534 Lünen,,,Datenschutz,0,0,578,19126
St. Rochus-Hospital,Glückaufstr. 10 44575 Castrop-Rauxel,,,4,Datenschutz,0,204,8696
Marienhospital Herne,Hölkeskampring 40 44625 Herne,,,Datenschutz,0,0,535,28335
Berufsgenossenschaftliche Kliniken Bergmannsheil - Universitätsklinik -,Bürkle-de-la-Camp-Platz 1 44789 Bochum,,,Datenschutz,Datenschutz,0,512,16610
Kliniken Essen-Mitte Ev. Huyssens-Stiftung,Henricistr. 92 45136 Essen,,,206,81,111,438,15070
Universitätsklinikum der Gesamthochschule Essen,Hufelandstr. 55 45147 Essen,,,74,Datenschutz,74,1161,51323
"LVR Klinikum Essen, Tagesklinik für Erwachsene",Wickenburgstraße 21 45147 Essen,,,Datenschutz,0,0,322,928
Elisabeth-Krankenhaus,Röntgenstr.10 45661 Recklinghausen,,,7,0,0,230,9667
Ev. Krankenhaus,Munckelstr. 27 45879 Gelsenkirchen,,,Datenschutz,0,0,435,16192
Marienhospital,Virchowstr. 135 45886 Gelsenkirchen,,,Datenschutz,0,0,568,22971
Sankt Marien-Hospital-Buer,Mühlenstr. 5-9 45894 Gelsenkirchen,,,Datenschutz,0,0,257,11306
Marienhospital,Josef-Albers-Str. 70 46236 Bottrop,,,Datenschutz,0,0,310,13104
St. Marien-Hospital Borken,Am Boltenhof 7 46325 Borken,,,33,21,0,316,11264
Ev. Krankenhaus Wesel,Schermbecker Landstr. 88 46485 Wesel,,,Datenschutz,0,0,349,12391
Bethesda-Krankenhaus zu Duisburg gGmbH,Heerstr. 219 47053 Duisburg,,,Datenschutz,0,0,413,12983
Helios Marien Klinik,Grunewaldstraße 96 47053 Duisburg,,,7,0,5,374,6457
St. Josef Moers,Asberger Str. 9 47441 Moers,,,Datenschutz,0,0,376,16767
St. Clemens-Hospital Geldern,Clemensstraße 1 47608 Geldern,,,Datenschutz,0,0,305,12582
Alexianer Krefeld GmbH Krankenhaus Maria-Hilf Krefeld,Dießemer Bruch 81 47805 Krefeld,,,Datenschutz,0,Datenschutz,575,15546
St. Franziskus-Hospital,Hohenzollernring 72 48145 Münster,,,16,0,0,598,28752
Universitätsklinikum Münster,Albert-Schweitzer-Campus 1 48149 Münster,,,Datenschutz,Datenschutz,0,1621,47208
Fachklinik Hornheide,Dorbaumstr. 300 48157 Münster,,,8,4,0,140,6313
Klinikum Osnabrück GmbH,Am Finkenhügel 1 49076 Osnabrück,,,13,0,Datenschutz,735,32619
Franziskus-Hospital Harderberg,Alte Rothenfelder Str. 23 49124 Georgsmarienhütte,,,Datenschutz,0,0,287,14099
St.-Franziskus-Hospital,Franziskusstr. 6 49393 Lohne,,,Datenschutz,0,0,140,7209
St. Katharinen-Hospital,Kapellenstr. 1-5 50226 Frechen,,,74,0,0,431,16569
Dreifaltigkeits-Krankenhaus Wesseling,Bonner Str. 84 50389 Wesseling,,,Datenschutz,0,0,186,6938
Cellitinnen-Severinsklösterchen Krankenhaus der Augustinerinnen,Jakobstr. 27-31 50678 Köln,,,Datenschutz,0,0,300,12907
Eduardus-Krankenhaus,Custodisstr. 3-17 50679 Köln,,,Datenschutz,Datenschutz,0,212,8378
Cellitinnen-Krankenhaus Heilig Geist,Graseggerstr. 105 50737 Köln,,,Datenschutz,0,0,291,16442
Universitätsklinikum Köln,Kerpener Str. 62 50937 Köln,,,Datenschutz,0,0,1522,57719
Kliniken der Stadt Köln Krankenhaus Holweide,Neufelder Str. 23 51067 Köln,,,4,0,0,407,15260
Kinder- und Jugendpychiatrie,Florentine-Eicheler Str.1 51067 Köln,,,Datenschutz,0,0,78,628
Universitätsklinikum Aachen,Pauwelsstr. 30 52074 Aachen,,,5,0,0,1488,38263
St. Marien-Hospital gGmbH,Hospitalstr. 44 52353 Düren,,,Datenschutz,0,0,381,15277
Städtisches Krankenhaus Heinsberg GmbH,Auf dem Brand 1 52525 Heinsberg,,,Datenschutz,0,0,215,9751
Universitätsklinikum Bonn,Venusberg-Campus 1 53127 Bonn,,,Datenschutz,0,0,1306,54757
"Ev. Kliniken Bonn, Waldkrankenhaus",Waldstr. 73 53177 Bonn,,,Datenschutz,0,0,265,11750
Krankenhaus Maria Stern,Am Anger 1 53424 Remagen,,,Datenschutz,0,0,142,4838
