Geschlecht,Altersgruppe,Year,median_num_surgeries_per_year
trans* Männer,20-25,2019,397
trans* Männer,20-25,2020,403
trans* Männer,20-25,2021,568
trans* Männer,20-25,2022,505
trans* Männer,20-25,2023,591
trans* Männer,20-25,2024,609
trans* Männer,25-30,2006,29
trans* Männer,25-30,2007,38
trans* Männer,25-30,2008,31
trans* Männer,25-30,2009,45
trans* Männer,25-30,2010,56
trans* Männer,25-30,2011,79
trans* Männer,25-30,2012,110
trans* Männer,25-30,2013,121
trans* Männer,25-30,2014,148
trans* Männer,25-30,2015,171
trans* Männer,25-30,2016,240
trans* Männer,25-30,2017,229
trans* Männer,25-30,2018,301
trans* Männer,25-30,2019,399
trans* Männer,25-30,2020,364
trans* Männer,25-30,2021,427
trans* Männer,25-30,2022,439
trans* Männer,25-30,2023,475
trans* Männer,25-30,2024,594
trans* Männer,30-35,2006,46
trans* Männer,30-35,2007,56
trans* Männer,30-35,2008,46
trans* Männer,30-35,2009,57
trans* Männer,30-35,2010,74
trans* Männer,30-35,2011,75
trans* Männer,30-35,2012,119
trans* Männer,30-35,2013,148
trans* Männer,30-35,2014,133
trans* Männer,30-35,2015,163
trans* Männer,30-35,2016,159
trans* Männer,30-35,2017,136
trans* Männer,30-35,2018,156
trans* Männer,30-35,2019,236
trans* Männer,30-35,2020,207
trans* Männer,30-35,2021,237
trans* Männer,30-35,2022,263
trans* Männer,30-35,2023,298
trans* Männer,30-35,2024,348
trans* Männer,35-40,2006,31
trans* Männer,35-40,2007,28
trans* Männer,35-40,2008,25
trans* Männer,35-40,2009,40
trans* Männer,35-40,2010,48
trans* Männer,35-40,2011,65
trans* Männer,35-40,2012,69
trans* Männer,35-40,2013,77
trans* Männer,35-40,2014,88
trans* Männer,35-40,2015,112
trans* Männer,35-40,2016,140
trans* Männer,35-40,2017,121
trans* Männer,35-40,2018,138
trans* Männer,35-40,2019,191
trans* Männer,35-40,2020,157
trans* Männer,35-40,2021,147
trans* Männer,35-40,2022,136
trans* Männer,35-40,2023,155
trans* Männer,35-40,2024,180
trans* Männer,40-45,2006,24
trans* Männer,40-45,2007,39
trans* Männer,40-45,2008,46
trans* Männer,40-45,2009,33
trans* Männer,40-45,2010,28
trans* Männer,40-45,2011,62
trans* Männer,40-45,2012,57
trans* Männer,40-45,2013,45
trans* Männer,40-45,2014,64
trans* Männer,40-45,2015,55
trans* Männer,40-45,2016,104
trans* Männer,40-45,2017,85
trans* Männer,40-45,2018,108
trans* Männer,40-45,2019,98
trans* Männer,40-45,2020,93
trans* Männer,40-45,2021,106
trans* Männer,40-45,2022,111
trans* Männer,40-45,2023,103
trans* Männer,40-45,2024,109
trans* Männer,45-50,2006,18
trans* Männer,45-50,2007,13
trans* Männer,45-50,2008,19
trans* Männer,45-50,2009,20
trans* Männer,45-50,2010,13
trans* Männer,45-50,2011,30
trans* Männer,45-50,2012,49
trans* Männer,45-50,2013,44
trans* Männer,45-50,2014,59
trans* Männer,45-50,2015,67
trans* Männer,45-50,2016,63
trans* Männer,45-50,2017,54
trans* Männer,45-50,2018,62
trans* Männer,45-50,2019,72
trans* Männer,45-50,2020,46
trans* Männer,45-50,2021,72
trans* Männer,45-50,2022,44
trans* Männer,45-50,2023,65
trans* Männer,45-50,2024,76
trans* Männer,50-55,2006,1
trans* Männer,50-55,2007,3
trans* Männer,50-55,2008,7
trans* Männer,50-55,2009,3
trans* Männer,50-55,2010,14
trans* Männer,50-55,2011,10
trans* Männer,50-55,2012,24
trans* Männer,50-55,2013,13
trans* Männer,50-55,2014,26
trans* Männer,50-55,2015,25
trans* Männer,50-55,2016,41
trans* Männer,50-55,2017,42
trans* Männer,50-55,2018,47
trans* Männer,50-55,2019,60
trans* Männer,50-55,2020,40
trans* Männer,50-55,2021,35
trans* Männer,50-55,2022,36
trans* Männer,50-55,2023,45
trans* Männer,50-55,2024,41
trans* Männer,55-60,2006,0
trans* Männer,55-60,2007,1
trans* Männer,55-60,2008,1
trans* Männer,55-60,2009,2
trans* Männer,55-60,2010,3
trans* Männer,55-60,2011,4
trans* Männer,55-60,2012,3
trans* Männer,55-60,2013,4
trans* Männer,55-60,2014,8
trans* Männer,55-60,2015,11
trans* Männer,55-60,2016,11
trans* Männer,55-60,2017,14
trans* Männer,55-60,2018,23
trans* Männer,55-60,2019,35
trans* Männer,55-60,2020,17
trans* Männer,55-60,2021,16
trans* Männer,55-60,2022,22
trans* Männer,55-60,2023,32
trans* Männer,55-60,2024,35
trans* Männer,60 und älter,2006,2
trans* Männer,60 und älter,2007,2
trans* Männer,60 und älter,2008,2
trans* Männer,60 und älter,2009,2
trans* Männer,60 und älter,2010,1
trans* Männer,60 und älter,2011,2
trans* Männer,60 und älter,2012,1
trans* Männer,60 und älter,2013,4
trans* Männer,60 und älter,2014,0
