Bundesland,Altersgruppe,percentage_of_total
Schleswig-Holstein,65 bis unter 70 Jahre,0
Schleswig-Holstein,70 bis unter 75 Jahre,0
Schleswig-Holstein,75 bis unter 80 Jahre,0
Schleswig-Holstein,80 bis unter 85 Jahre,0
Schleswig-Holstein,85 bis unter 90 Jahre,0
Schleswig-Holstein,90 bis unter 95 Jahre,0
Schleswig-Holstein,95 Jahre und älter,0
Schleswig-Holstein,Unter 1 Jahr,0
Thüringen,1 Jahr bis unter 5 Jahre,0
Thüringen,10 bis unter 15 Jahre,0
Thüringen,15 bis unter 20 Jahre,0
Thüringen,20 bis unter 25 Jahre,11.54
Thüringen,25 bis unter 30 Jahre,19.23
Thüringen,30 bis unter 35 Jahre,15.38
Thüringen,35 bis unter 40 Jahre,19.23
Thüringen,40 bis unter 45 Jahre,15.38
Thüringen,45 bis unter 50 Jahre,7.69
Thüringen,5 bis unter 10 Jahre,0
Thüringen,50 bis unter 55 Jahre,3.85
Thüringen,55 bis unter 60 Jahre,7.69
Thüringen,60 bis unter 65 Jahre,0
Thüringen,65 bis unter 70 Jahre,0
Thüringen,70 bis unter 75 Jahre,0
Thüringen,75 bis unter 80 Jahre,0
Thüringen,80 bis unter 85 Jahre,0
Thüringen,85 bis unter 90 Jahre,0
Thüringen,90 bis unter 95 Jahre,0
Thüringen,95 Jahre und älter,0
Thüringen,Unter 1 Jahr,0
