"Name","Addresse","Fallzahl F64","Bettananzahl","Stationäre Fälle insgesamt"
"Universitätsklinikum Gießen und Marburg - Standort Gießen","Rudolf-Buchheim-Str. 6
                                35392 Gießen","Datenschutz","1,279","42,648"
"AGAPLESION EVANGELISCHES KRANKENHAUS MITTELHESSEN gGmbH","Paul-Zipp-Straße 171
                                35398 Gießen","Datenschutz","263","10,783"
"Agaplesion Krankenhaus Neu-Bethlehem gGmbH","Humboldtallee 8
                                37073 Göttingen","Datenschutz","100","8,960"
"Kliniken der Georg-August-Universität","Robert-Koch-Str. 40
                                37075 Göttingen","Datenschutz","1,634","49,367"
"Evang. Krankenhaus Göttingen-Weende e.V.","An der Lutter 24
                                37075 Göttingen","7","433","18,063"
"HELIOS Albert-Schweitzer-Klinik Northeim","Albert-Schweitzer-Weg 1
                                37154 Northeim","Datenschutz","210","10,857"
"Krankenhaus Marienstift","Helmstedter Str. 35 a
                                38102 Braunschweig","Datenschutz","147","9,357"
"Helios Klinikum Salzgitter","Kattowitzer-Str. 191
                                38226 Salzgitter","Datenschutz","296","15,869"
"AMEOS Klinikum Halberstadt GmbH","Gleimstr. 5
                                38820 Halberstadt","Datenschutz","331","17,138"
"Universitätsklinikum Magdeburg - Gerhart-Hauptmann-Straße","Gerhart-Hauptmann-Straße 35
                                39108 Magdeburg","9","107","5,990"
"Universitätsklinikum Magdeburg","Leipziger Str. 44
                                39120 Magdeburg","36","842","32,289"
"Klinikum Magdeburg gGmbH","Birkenallee 34
                                39130 Magdeburg","5","791","28,307"
"Universitätsklinikum Düsseldorf","Moorenstr. 5
                                40225 Düsseldorf","Datenschutz","1,247","46,122"
"Diakoniewerk Kaiserswerth Florence-Nightingale- Krankenhaus","Kreuzbergstr. 79
                                40489 Düsseldorf","333","556","22,945"
"Sana Kliniken Düsseldorf GmbH, Krankenhaus Benrath","Urdenbacher Allee 83
                                40593 Düsseldorf","23","177","9,435"
"Sana Kliniken Düsseldorf GmbH, Krankenhaus Gerresheim","Gräulinger-Str. 120
                                40625 Düsseldorf","354","180","8,040"
"Ev. Krankenhaus GmbH","Gartenstr. 4-8
                                40822 Mettmann","Datenschutz","245","11,242"
"Ev. Krankenhaus ""Bethesda"" gGmbH","Ludwig-Weber-Str. 15
                                41061 Mönchengladbach","Datenschutz","226","11,588"
"Städtische Kliniken Mönchengladbach GmbH","Hubertusstr. 100
                                41239 Mönchengladbach","Datenschutz","554","32,293"
"Johanna-Etienne-Krankenhaus","Am Hasenberg 46
                                41462 Neuss","Datenschutz","415","18,062"
"Rheinland Klinikum Dormagen","Dr. Geldmacher-Str. 20
                                41540 Dormagen","Datenschutz","294","11,575"
"Hermann-Josef-Krankenhaus","Tenholterstr. 43
                                41812 Erkelenz","Datenschutz","409","20,040"
"Agaplesion Bethesda Krankenhaus Wuppertal gGmbH","Hainstr. 35
                                42109 Wuppertal","Datenschutz","358","16,341"
"HELIOS Klinikum Wuppertal Barmen","Heusnerstr. 40
                                42283 Wuppertal","10","877","37,403"
"Krankenhaus Wermelskirchen GmbH","Königstr. 100
                                42929 Wermelskirchen","Datenschutz","180","8,291"
"Klinikum Dortmund gGmbH Klinikzentrum Mitte","Beurhausstraße 40
                                44137 Dortmund","Datenschutz","963","42,093"
"St.-Marien-Hospital","Altstadtstr. 23
                                44534 Lünen","Datenschutz","578","19,126"
"St. Rochus-Hospital","Glückaufstr. 10
                                44575 Castrop-Rauxel","4","204","8,696"
"Marienhospital Herne","Hölkeskampring 40
                                44625 Herne","Datenschutz","535","28,335"
"Berufsgenossenschaftliche Kliniken Bergmannsheil - Universitätsklinik -","Bürkle-de-la-Camp-Platz 1
                                44789 Bochum","Datenschutz","512","16,610"
"Kliniken Essen-Mitte Ev. Huyssens-Stiftung","Henricistr. 92
                                45136 Essen","206","438","15,070"
"Universitätsklinikum der Gesamthochschule Essen","Hufelandstr. 55
                                45147 Essen","74","1,161","51,323"
"LVR Klinikum Essen, Tagesklinik für Erwachsene","Wickenburgstraße 21
                                45147 Essen","Datenschutz","322","928"
"Elisabeth-Krankenhaus","Röntgenstr.10
                                45661 Recklinghausen","7","230","9,667"
"Ev. Krankenhaus","Munckelstr. 27
                                45879 Gelsenkirchen","Datenschutz","435","16,192"
"Marienhospital","Virchowstr. 135
                                45886 Gelsenkirchen","Datenschutz","568","22,971"
"Sankt Marien-Hospital-Buer","Mühlenstr. 5-9
                                45894 Gelsenkirchen","Datenschutz","257","11,306"
"Marienhospital","Josef-Albers-Str. 70
                                46236 Bottrop","Datenschutz","310","13,104"
"St. Marien-Hospital Borken","Am Boltenhof 7
                                46325 Borken","33","316","11,264"
"Ev. Krankenhaus Wesel","Schermbecker Landstr. 88
                                46485 Wesel","Datenschutz","349","12,391"
"Bethesda-Krankenhaus zu Duisburg gGmbH","Heerstr. 219
                                47053 Duisburg","Datenschutz","413","12,983"
"Helios Marien Klinik","Grunewaldstraße 96
                                47053 Duisburg","7","374","6,457"
